X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y1,Y2,Y3,Y4,Y5
2862,0,77,906,5,917.9,874.3,762.6,651.8,521.6,7.66,14.9,121.4392804,273.2383808,29
2864,0,77,906,5,917.9,874.3,762.6,651.8,520.3,7.71,14.8,118.510158,274.2663657,29
2866,0,77,906,5,918.2,874.4,762.6,651.8,520.3,7.6,14.8,116.4179104,272.0149254,29
2868,0,77,906,5,918.7,874.4,765.2,651.8,520.3,7.53,14.8,118.0400891,270.6013363,29
2870,0,77,906,5,919.3,874.4,765.2,651.8,520.3,7.51,14.7,121.2008895,270.2001483,29
2872,0,77,906,5,919.7,870.1,765.2,651.8,520.3,7.49,14.7,125.4626203,269.800148,29
2874,0,77,906,5,920.1,870.1,761.6,650,520.3,7.46,14.7,127.4002954,269.2023634,29
2876,0,77,906,5,920.1,870.1,761.6,650,520.1,7.29,14.7,126.9146608,266.9584245,29
2878,0,77,906,5,920.2,871.6,761.6,650,520.1,7.27,14.7,126.7297888,266.5695557,29
2880,0,77,906,5,919.9,871.6,765,649,520.1,7.31,14.7,126.0043828,267.3484295,29
2882,0,77,906,5,919.9,871.6,765,649,519.3,7.48,14.7,126.4792899,270.7100592,29
2884,0,77,906,5,919.8,867.1,765,649,519.3,7.62,14.6,126.6816143,273.5426009,29
2886,0,77,906,5,919.9,867.1,763,649,519.3,7.55,14.6,122.6765799,272.1189591,29
2888,0,77,906,5,919.8,867.1,763,649.1,520.6,7.37,14.6,118.8554659,267.4247982,29
2890,0,77,906,5,919.3,875.3,763,649.1,520.6,7.31,14.6,118.3345508,266.2527392,29
2892,0,77,906,5,918.8,875.3,764.6,649.1,520.6,7.27,14.6,117.9898034,265.4770575,29
2894,0,77,906,5,918.1,875.3,764.6,648.7,520.7,7.32,14.6,122.8070175,267.5438596,29
2896,0,77,906,5,917.5,871.1,764.6,648.7,520.7,7.29,14.6,124.726477,266.9584245,29
2898,0,77,906,5,917.5,871.1,764.7,648.7,520.7,7.2,14.7,125,265.2173913,29
2900,0,77,906,5,917.5,871.1,764.7,648.8,520.7,7.16,14.7,124.6387283,264.4508671,29
2902,0,77,906,5,917.2,865,764.7,648.8,521.6,7.2,14.7,125,265.2173913,29
2904,0,77,906,5,916.9,865,764.9,648.8,521.6,7.44,14.6,127.2123894,269.9115044,29
2906,0,77,906,5,916.6,865,764.9,648.8,521.6,7.54,14.6,128.1575037,271.9167905,29
2908,0,77,906,5,916.3,869.6,764.9,648.8,521.6,7.55,14.6,128.2527881,272.1189591,29
2910,0,77,906,5,916.3,869.6,764.1,648.8,521.6,7.53,14.6,126.9487751,271.714922,29
2912,0,77,906,5,916.5,869.6,764.1,650.5,521.6,7.56,14.6,125,272.3214286,29
2914,0,77,906,5,916.3,871.1,764.1,650.5,522.2,7.79,14.6,124.9053747,277.0628312,29
2916,0,77,906,5,916.4,871.1,762.5,650.5,522.2,7.86,14.6,123.2876712,278.5388128,29
2918,0,77,906,5,916.4,871.1,762.5,650.5,522.2,7.93,14.6,121.6526396,280.0306044,29
2920,0,77,906,5,916.2,871.1,762.5,650.5,521.1,7.85,14.6,117.4904943,278.3269962,29
2922,0,77,906,5,915.7,865.5,763.5,650.5,521.1,7.75,14.6,112.0754717,276.2264151,29
2924,0,77,906,5,915.2,865.5,763.5,650.5,521.1,7.8,14.5,111.3636364,277.2727273,29
2926,0,77,906,5,915.2,865.5,763.5,650.5,521.1,7.83,14.5,110.4783599,277.904328,29
2928,0,77,906,5,915.4,873.2,763.5,650.5,521.1,7.81,14.4,110.3108415,277.4829416,29
2930,0,77,906,5,915.7,873.2,763.5,650.5,521.1,7.6,14.4,107.4626866,273.1343284,29
2932,0,77,906,5,915.7,873.2,763.5,650.5,521.1,7.52,14.4,106.8249258,271.5133531,29
2934,0,77,906,5,915.5,877.7,762.5,650.5,521.1,7.57,14.5,106.1057334,272.5241996,29
2936,0,77,906,5,915.5,877.7,762.5,649.7,521.1,7.61,14.5,106.4227035,273.3383122,29
2938,0,77,906,5,915.5,877.7,762.5,649.7,521.1,7.68,14.4,106.981982,275.9009009,29
2940,0,77,906,5,915.7,871.6,762.4,649.7,521.1,7.61,14.4,105.3024645,274.4585512,29
2942,0,77,906,5,915.8,871.6,762.4,650.5,521.1,7.41,14.5,102.6490066,270.419426,29
2944,0,77,906,5,915.7,871.6,762.4,650.5,521.2,7.39,14.5,103.6002939,270.0220426,29
2946,0,77,906,5,915.4,871.4,762.5,650.5,521.2,7.44,14.5,103.9823009,271.0176991,29
2948,0,77,906,5,915.1,871.4,762.5,647.7,521.2,7.59,14.5,106.2639821,274.049217,29
2950,0,77,906,5,915.4,871.4,762.5,647.7,521.2,7.73,14.5,108.5154484,276.9404672,29
2952,0,77,906,5,915.5,872.6,764.6,647.7,521.2,7.73,14.5,107.3850791,276.9404672,29
2954,0,77,906,5,915.5,872.6,764.6,648.9,521.2,7.73,14.5,106.2547099,276.9404672,29
2956,0,77,906,5,915.6,872.6,764.6,648.9,521.1,7.79,14.5,105.6018168,279.333838,29
2958,0,77,906,5,915.9,869,764.6,648.9,521.1,7.85,14.4,104.9429658,280.608365,29
2960,0,77,906,5,916,869,761.5,648.9,521.1,7.83,14.4,104.7835991,280.1822323,29
